number,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate
control_1,9326.0,5076847.0,9.8901036410985,142.98305084745763,0.1016949152542373,62.0,-18.0,17.0,2.0,17.0,8437.707426296494,-5.953570436232288,8436.0,4.0
control_1,14771.0,16467673.0,46.41154758173787,181.22033898305085,26.440677966101696,74.0,5.0,15.0,2.0,17.0,10695.200739051526,8.134454015004165,10692.0,10.0
control_1,65211.5,97004748.0,19.981331635437062,383.271186440678,-24.661016949152543,288.0,0.0,18.0,2.0,17.0,22615.279139914248,-20.830564045568213,22613.0,0.0
control_1,19661.5,12267300.0,33.452532831185344,244.52542372881356,4.898305084745763,229.0,-8.0,20.0,2.0,19.0,14429.480910282049,1.9983884412336734,14427.0,2.0
control_1,33380.0,41691638.0,12.26384986361054,219.32203389830508,-17.694915254237287,155.0,0.0,14.0,1.0,14.0,12958.275566763064,-29.806501806057238,12940.0,10.0
control_1,24955.0,30567613.0,47.159213674944134,162.47457627118644,14.033898305084746,0.0,0.0,7.0,2.0,7.0,9619.131331979204,25.008363434287293,9586.0,3.0
control_1,11743.5,6655942.0,12.205631299070815,134.38983050847457,-9.813559322033898,66.0,3.0,17.0,1.0,19.0,7932.143012011351,-7.929647124201166,7929.0,16.0
control_1,14598.5,9416384.0,40.76579226165798,208.52542372881356,0.11864406779661017,112.0,3.0,14.0,0.0,16.0,12308.936863160163,5.762211725479297,12303.0,11.0
control_1,11907.5,10018049.0,32.64961980122078,178.22033898305085,-0.11864406779661017,60.0,0.0,15.0,1.0,20.0,10524.224655270877,0.6524312308974697,10515.0,23.0
control_1,787.0,142361.0,8.133913080127282,21.728813559322035,0.0,0.0,0.0,0.0,0.0,5.0,1330.0846369823716,-0.8857182550708532,1282.0,10.0
control_1,417.0,45043.0,34.430521945696334,11.932203389830509,0.0,0.0,0.0,1.0,2.0,5.0,751.4401821501509,0.03292581272575712,704.0,10.0
control_1,362.0,30378.0,33.53795509908486,12.271186440677965,0.0,0.0,0.0,2.0,0.0,6.0,771.2235203627699,0.13398166157265906,724.0,12.0
control_1,2021.0,876477.0,33.685987196469505,40.779661016949156,0.0,0.0,0.0,0.0,2.0,7.0,2445.4923535641146,0.14378994165045814,2406.0,14.0
control_1,622.0,162928.0,33.18811376804478,19.45762711864407,0.0,0.0,0.0,1.0,2.0,4.0,1197.5045101852459,0.23817727146429554,1148.0,8.0
control_1,290.0,23486.0,9.654900791961168,9.389830508474576,0.0,0.0,0.0,0.0,2.0,5.0,602.4420558213437,-0.2671853292581273,554.0,10.0
control_1,1016.0,298734.0,23.676779342157236,30.372881355932204,0.0,0.0,0.0,0.0,2.0,6.0,1836.2132063221281,-0.4066129480411226,1792.0,12.0
control_1,1597.0,585461.0,25.66776779324327,51.66101694915254,0.0,0.0,0.0,0.0,1.0,6.0,3092.149169561959,-0.18441233676021124,3048.0,12.0
control_1,4315.0,967150.0,41.00650054283203,51.11864406779661,3.152542372881356,0.0,0.0,0.0,2.0,6.0,3060.061112684327,3.315865518199499,3016.0,13.0
control_1,17543.0,11660885.0,36.36711064383192,179.59322033898306,1.1864406779661016,126.0,0.0,16.0,0.0,15.0,10599.560009559653,3.45948874687413,10596.0,6.0
control_1,25584.0,23237495.0,13.449910026876822,207.89830508474577,-14.135593220338983,118.0,0.0,14.0,1.0,16.0,12270.669866207527,-20.25787718810781,12266.0,6.0
control_1,6647.5,2602143.0,25.67848461825503,89.23728813559322,-2.0847457627118646,58.0,-10.0,16.0,3.0,17.0,5266.974490375217,-0.1964156710197287,5265.0,8.0
control_1,24023.5,31103619.0,47.95507876430714,174.08474576271186,16.322033898305083,85.0,9.0,16.0,2.0,17.0,10274.611642403412,20.4493192553487,10271.0,12.0
control_1,15540.0,6806195.0,17.45632074896473,159.22033898305085,-8.033898305084746,114.0,-6.0,18.0,1.0,18.0,9397.601772174998,-6.013253681578214,9394.0,4.0
control_1,9488.0,2444607.0,32.578254091557454,117.45762711864407,6.5423728813559325,96.0,-15.0,21.0,4.0,20.0,6930.536827200488,0.48177271464295596,6930.0,2.0
control_1,25716.0,38673942.0,11.956840448279102,228.54237288135593,-10.711864406779661,66.0,-7.0,15.0,1.0,17.0,13488.701396426815,-22.37582661850514,13484.0,14.0
control_1,7905.0,4019641.0,42.64282531698726,128.40677966101694,-2.6440677966101696,81.0,0.0,16.0,2.0,17.0,7580.497802580933,1.3189497082522907,7576.0,11.0
control_1,19439.0,14327629.0,25.432681848476115,219.05084745762713,2.6440677966101696,148.0,-20.0,14.0,2.0,17.0,12927.623129951951,-2.4083078632953616,12924.0,11.0
control_1,36297.5,46619645.0,35.076391937347445,369.8813559322034,-0.5932203389830508,246.0,-37.0,17.0,1.0,18.0,21824.313361056607,9.90878021672686,21823.0,0.0
control_1,15471.5,7455316.0,18.538068138225128,170.72881355932202,-3.305084745762712,122.0,-9.0,18.0,2.0,17.0,10073.627693435412,-5.424340094470686,10073.0,0.0
control_1,11090.5,5260354.0,23.15158181369543,161.94915254237287,0.22033898305084745,111.0,0.0,13.0,2.0,15.0,9559.03115743867,-1.46396221172548,9555.0,12.0
control_1,19005.5,14056294.0,20.834980116380606,216.05084745762713,0.7627118644067796,126.0,0.0,10.0,2.0,15.0,12752.299029624603,-4.09869408168936,12747.0,6.0
control_1,11930.5,8476273.0,49.863695636041925,130.52542372881356,-1.0677966101694916,60.0,0.0,11.0,1.0,16.0,7708.196034995528,8.636426785218115,7701.0,14.0
control_1,5642.5,2536282.0,18.733067537442604,108.01694915254237,-0.3898305084745763,38.0,0.0,10.0,2.0,15.0,6385.908778318275,-3.016671297582662,6373.0,19.0
control_1,2765.5,1700444.0,12.656452667656213,71.27118644067797,-1.2372881355932204,0.0,0.0,1.0,2.0,6.0,4247.110973419612,-2.2269519310919703,4205.0,11.0
control_1,277.0,33832.0,46.349905414991724,9.220338983050848,2.4745762711864407,0.0,0.0,0.0,2.0,4.0,593.2366191797139,0.20922478466240615,544.0,9.0
control_1,533.0,45487.0,31.659595049134918,15.694915254237289,0.0,0.0,0.0,1.0,1.0,7.0,969.2108562101158,0.06160044456793545,926.0,14.0
control_1,219.0,11695.0,39.92201795639162,7.254237288135593,0.0,0.0,0.0,0.0,2.0,6.0,474.8320321630311,0.11400388996943593,428.0,12.0
